Model,MSE,RMSE,MAE,R²
No Dropout,0.25217261685310716,0.5021679169890358,0.10695007261555937,0.9745757344516827
Low LR,0.28006192064170615,0.5292087684852795,0.11261387453201431,0.9717639102563059
High LR,0.3976930716397602,0.6306291078278581,0.26381625695287053,0.959904233908216
Large Batch,0.4006755350595476,0.6329893640967024,0.25119292850906194,0.9596035393168718
Simple Arch,0.41985862329005874,0.6479649861605631,0.269470660021006,0.9576694834495236
Baseline,0.43244311232577404,0.6576040695781725,0.31198479990006145,0.956400704170367
RMSprop,0.473276552114136,0.6879509808948134,0.33265710395428266,0.952283840771851
Short Seq (15d),0.48898856222056175,0.6992771712422491,0.39898343546357784,0.9506863335700482
Deep Arch,0.49620933224180996,0.7044212746942059,0.31294066071971677,0.9499717376616755
SGD,0.5383832718787142,0.7337460540805069,0.25207814028354775,0.9457197238866353
Small Batch,0.6058483270338751,0.7783625935474258,0.39082616414389343,0.9389178375482157
Long Seq (60d),0.6249768567107987,0.7905547778053073,0.3754077674610134,0.9370239042047315
High Dropout,2.5177426710652613,1.5867396355625776,0.8893335598125497,0.7461589642432092
